employee_id,first_name,last_name,department,hire_date,salary
1,Alice,Johnson,HR,2020-03-15,42000
2,Bob,Smith,Finance,2019-07-22,55000
3,Carol,Lee,Marketing,2021-01-10,60000
4,David,Brown,IT,2018-11-05,62000
5,Eva,Davis,Sales,2022-06-30,47000
6,Frank,Wilson,HR,2020-09-12,43000
7,Grace,Taylor,Finance,2017-04-18,58000
8,Henry,Clark,Marketing,2021-08-25,49000
9,Ivy,Lewis,IT,2019-02-14,61000
10,Jack,Walker,Sales,2022-12-01,46000
11,Kara,Hall,HR,2020-05-20,44000
12,Liam,Allen,Finance,2018-10-10,57000
13,Mia,Young,Marketing,2021-03-03,50000
14,Noah,King,IT,2019-06-17,63000
15,Olivia,Wright,Sales,2022-04-22,49000
16,Paul,Scott,HR,2020-08-08,45000
17,Quinn,Green,Finance,2017-12-12,59000
18,Ruby,Adams,Marketing,2021-09-09,51000
19,Sam,Baker,IT,2019-01-01,64000
20,Tina,Nelson,Sales,2022-11-11,49000

